0380795272,Krondor: The Betrayal,Raymond E. Feist,1998
1416949658,The Dark Is Rising,Susan Cooper,1973
1857231082,The Black Unicorn ,Terry Brooks,1987
0553803700,"I, Robot",Isaac Asimov,1950
080213825X,Four Blondes,Candace Bushnell,2000
0375913750,"Love, Stargirl",Jerry Spinelli,2007
074349671X,The Tenth Circle,Jodi Picoult,2006
0743454553,Vanishing Acts,Jodi Picoult,2005
0765317508,Aztec,Gary Jennings,1980
0142501085,Marlfox,Brian Jacques,1998
1442468351,Lady Midnight,Cassandra Clare,2016
1439152802,The Secret Keeper,Kate Morton,2012
0399153942,The Afghan,Frederick Forsyth,2006
0441017835,A Touch of Dead,Charlaine Harris,2009
0590554107,Daja's Book,Tamora Pierce,1998
1451648537,Steve Jobs,Walter Isaacson,2011
0590396560,Cold Fire,Tamora Pierce,2002
000723368X,Thanks for the Memories,Cecelia Ahern,2008
0803734735,Bitterblue,Kristin Cashore,2012
1592243002,Daisy Miller,Henry James,1878
055337849X,The Brothers K,David James Duncan,1992
0061150142,The Pact,Jodi Picoult,1998
0739328271,Plum Spooky,Janet Evanovich,2009
0062076108,Twice Tempted ,Jeaniene Frost,2013
039925675X,Legend,Marie Lu,2011
1595543414,Thr3e,Ted Dekker,2003
0446679097,The Lion's Game,Nelson DeMille,2000
0385339607,The Rainmaker,John Grisham,1995
1250012570,Eleanor & Park,Rainbow Rowell,2013
0786838655,The Lightning Thief,Rick Riordan,2005
0440225450,The Final Detail,Harlan Coben,1999
0743484355,A Cry in the Night,Mary Higgins Clark,1982
0670016780,Half Bad,Sally Green,2014
0140621733,Lady Windermere's Fan,Oscar Wilde,1893
0061662763,The Awakening,Kelley Armstrong,2009
006117758X,Ham on Rye,Charles Bukowski,1982
1423102266,The Van Alen Legacy ,Melissa de la Cruz,2009
067056172X,A Pocket for Corduroy,Don Freeman,1978
0385339097,The Street Lawyer,John Grisham,1998
0413757102,Revolutionary Road,Richard Yates,1961
0441569595,Neuromancer,William Gibson,1984
0684833395,Catch-22,Joseph Heller,1961
1416950737,sTORI Telling,Tori Spelling,2008
0140501827,The Snowy Day,Ezra Jack Keats,1962
0099285444,Invisible Monsters,Chuck Palahniuk,1999
0552555703,Noughts & Crosses,Malorie Blackman,2001
0671047345,Separation of Power,Vince Flynn,2001
0812995201,The Weight of Blood,Laura McHugh,2014
0812995341,Lincoln in the Bardo,George Saunders,2017
0553589377,Kiss of Midnight,Lara Adrian,2007
1476798176,Did You Ever Have a Family,Bill Clegg,2015
0006640613,The Tiger Who Came to Tea,Judith Kerr,1968
0395870828,Tuesday,David Wiesner,1991
1585678759,My Man Jeeves,P.G. Wodehouse,1919
0425241130,Hit List,Laurell K. Hamilton,2011
0743417321,Cabal,Clive Barker,1988
1598184318,The Sea Wolf,Jack London,1904
0312571259,One Good Dog,Susan  Wilson,2010
0345424646,A Knight of the Word ,Terry Brooks,1998
0393062627,The Lonely Polygamist,Brady Udall,2010
0312624670,Born at Midnight,C.C. Hunter,2011
0451235843,Lover Reborn,J.R. Ward,2012
1400079497,The Plot Against America,Philip Roth,2004
1857988094,I Am Legend ,Richard Matheson,1954
1423121309,Hex Hall,Rachel Hawkins,2010
0451169514,It,Stephen King,1986
0061053562,The Player of Games,Iain M. Banks,1988
0156949601,The Waves,Virginia Woolf,1931
0446617792,The Angel Experiment,James Patterson,2005
0060096187,Teen Idol,Meg Cabot,2004
0345484088,Armageddon's Children,Terry Brooks,2006
0345379063,Legend ,David Gemmell,1984
0060824972,The Thief,Megan Whalen Turner,1996
0312932804,Welcome to Temptation,Jennifer Crusie,1996
1857989341,The Gods Themselves,Isaac Asimov,1972
0425234339,Bullet,Laurell K. Hamilton,2010
0765326264,A Dog's Purpose ,W. Bruce Cameron,2010
0446580309,The Devil You Know,Mike Carey,2006
0812966929,number9dream,David Mitchell,2001
0062049879,A Week to Be Wicked,Tessa Dare,2012
0007198914,A Place Called Here,Cecelia Ahern,2006
0393307050,Master and Commander,Patrick O'Brian,1969
0802136834,The Six Wives of Henry VIII,Alison Weir,1980
0553590162,Industrial Magic,Kelley Armstrong,2004
0439441722,The Will of the Empress,Tamora Pierce,2005
0446611212,Violets Are Blue,James Patterson,2001
0061092193,Men at Arms,Terry Pratchett,1993
034541005X,The Power of One,Bryce Courtenay,1989
0670022411,A Discovery of Witches,Deborah Harkness,2011
1451683405,Free Will,Sam Harris,2012
0440242916,Faithless,Karin Slaughter,2005
0060586133,Three Wishes,Liane Moriarty,2003
0061006629,Fatherland,Robert   Harris,1992
0345519515,Never Love a Highlander,Maya Banks,2011
0316197084,Altered,Jennifer Rush,2013
0385341954,Fractured,Karin Slaughter,2008
0345485793,The Charlemagne Pursuit,Steve Berry,2008
0671888587,I'll Be Seeing You,Mary Higgins Clark,1993
006170654X,Wench,Dolen Perkins-Valdez,2009
0553560735,Red Mars,Kim Stanley Robinson,1993
0316234478,The 100,Kass Morgan,2013
1423140605,The Mark of Athena,Rick Riordan,2012
0224085611,Her Fearful Symmetry,Audrey Niffenegger,2009
0765335344,Vicious,"V.E. Schwab, Victoria Schwab",2013
1423108760,Bad Girls Don't Die,Katie Alender,2009
0553293427,Pebble in the Sky,Isaac Asimov,1950
0739437585,Safe Harbour,Danielle Steel,2003
068482535X,Lincoln,David Herbert Donald,1995
0141382899,The Titan's Curse,Rick Riordan,2007
0802151825,Tropic of Capricorn,Henry Miller,1938
0452287065,The Bluest Eye,Toni Morrison,1970
034552795X,Wife 22,Melanie Gideon,2008
069401298X,Frog and Toad Together,Arnold Lobel,1971
0060852577,The Lacuna,Barbara Kingsolver,2009
0385334230,Slapstick,Kurt Vonnegut Jr.,1976
0312349513,Fearless Fourteen,Janet Evanovich,2008
1561797464,A Christmas Carol,Charles Dickens,1843
0767915593,Straight Talking,Jane Green,1997
1400078776,Never Let Me Go,Kazuo Ishiguro,2005
0006161413,Ice Station Zebra,Alistair MacLean,1963
0385491069,The Edible Woman,Margaret Atwood,1969
0451208188,The English Assassin,Daniel Silva,2002
0312942303,Born of the Night,Sherrilyn Kenyon,1996
0385366434,Two Ravens and One Crow,Kevin Hearne,2012
0345438310,Nicholas and Alexandra,Robert K. Massie,1967
0060652381,A Grief Observed,C.S. Lewis,1961
140690483X,"Right Ho, Jeeves",P.G. Wodehouse,1934
0743482883,Mr. Perfect,Linda Howard,2000
0060744545,Moonrise,Erin Hunter,2005
0385907508,Moon Over Manifest,Clare Vanderpool,2010
0385528787,MaddAddam,Margaret Atwood,2013
0553804812,The Good Guy,Dean Koontz,1989
0312364687,Shoe Addicts Anonymous ,Beth Harbison,2007
0671702505,The Gift,Julie Garwood,1991
031605755X,Winter's Bone,Daniel Woodrell,2006
0375701230,A Death in the Family,James Agee,1957
0582418275,The Firm,John Grisham,1991
041330860X,Antigone,Jean Anouilh,1944
0399154302,Spook Country,William Gibson,2007
0224064924,Esio Trot,"Roald Dahl, Quentin Blake",1990
0345495357,The Lady Elizabeth,Alison Weir,2008
0060760885,One Crazy Summer,Rita Williams-Garcia,2010
0375990690,Teardrop,Lauren Kate,2013
0307347974,Fahrenheit 451,Ray Bradbury,1953
0547959206,Independent Study,Joelle Charbonneau,2014
0553535641,Tell Me Three Things,Julie Buxbaum,2016
0312377037,The Brutal Telling,Louise Penny,2009
0061020664,Wyrd Sisters,Terry Pratchett,1988
1416528636,Little Earthquakes,Jennifer Weiner,2004
0375822747,The City of Ember,Jeanne DuPrau,2003
0375409289,A Gate at the Stairs,Lorrie Moore,2009
0810984911,The Ugly Truth,Jeff Kinney,2010
148234873X,Beauty from Pain,Georgia Cates,2013
0451216725,Code to Zero,Ken Follett,2000
0743428188,The Twentieth Wife,Indu Sundaresan,2002
0099366614,The Big Nowhere,James Ellroy,1988
0385538030,Beautiful You,Chuck Palahniuk,2014
0316134074,Dreams of Gods & Monsters,Laini Taylor,2014
0385335970,Dragonfly in Amber,Diana Gabaldon,1992
0439286069,Freak the Mighty,Rodman Philbrick,1993
0553573357,Blue Mars ,Kim Stanley Robinson,1996
0747560595,The Virgin Suicides,Jeffrey Eugenides,1993
0345461622,Pandora's Star,Peter F. Hamilton,2004
0743234413,Cloudstreet,Tim Winton,1991
0425201376,The Lunatic Cafe,Laurell K. Hamilton,1996
0767900383,Under the Tuscan Sun,Frances Mayes,1996
0739326228,Memoirs of a Geisha,Arthur Golden,1997
1594481954,My Friend Leonard,James Frey,2005
0385536073,Calico Joe,John Grisham,2012
0765328666,Girl of Nightmares,Kendare Blake,2012
0307272591,Bad Monkey,Carl Hiaasen,2013
0871404028,High-Rise,J.G. Ballard,1975
0062306812,The Miniaturist,Jessie Burton,2014
0739380338,The Last Olympian,Rick Riordan,2009
0060827882,Trinity: A Novel of Ireland,Leon Uris,1976
0385532458,Ford County,John Grisham,2008
0156030306,Flowers for Algernon,Daniel Keyes,1966
0375703055,Ellen Foster,Kaye Gibbons,1987
0060548266,The Hollow Hills,Mary  Stewart,1973
0399156240,Fantasy In Death,J.D. Robb,2010
0312997124,First Among Equals,Jeffrey Archer,1983
0670447161,Madeline's Rescue,Ludwig Bemelmans,1953
0373250118,See Jane Date,Melissa Senate,2001
0316677469,The Almost Moon,Alice Sebold,2007
1250069793,Truly Madly Guilty,Liane Moriarty,2016
0425256758,Dead Heat,Patricia Briggs,2015
0393346773,The Obituary Writer,Ann Hood,2013
0140565337,Parts,Tedd Arnold,1997
0553584480,The Face,Dean Koontz,2003
0061583073,At Grave's End,Jeaniene Frost,2008
1401341705,The Collaborator,Margaret Leroy,2011
0753820331,The neon rain,James Lee Burke,1987
1408319462,Slated,Teri Terry,2012
0060638508,Sein und Zeit,Martin Heidegger,1927
0446608890,Saving Faith,David Baldacci,1999
030734813X,Jurassic Park,Michael Crichton,1990
0688147321,Chrysanthemum,Kevin Henkes,1991
0375868704,The Emerald Atlas,John  Stephens,2011
0061931411,Dragon Haven,Robin Hobb,2010
0751531189,The Charm School,Nelson DeMille,1988
074324754X,The Glass Castle,Jeannette Walls,2005
0552154288,Hogfather,Terry Pratchett,1996
1400030269,Plateforme,Michel Houellebecq,2001
0061002828,The Hellbound Heart,Clive Barker,1986
0553573861,Zodiac,Neal Stephenson,1988
044101173X,Redemption Ark,Alastair Reynolds,2003
0425205754,Montana Sky,Nora Roberts,1996
0451464397,Skin Game,Jim Butcher,2014
0060554738,The Game,Neil Strauss,2005
0671670689,Dawn ,V.C. Andrews,1990
1101875895,Our Souls at Night,Kent Haruf,2015
0340896965,One Day,David Nicholls,2009
0778325342,Fire Study,Maria V. Snyder,2008
0385539703,The Children Act,Ian McEwan,2014
0399156135,The First Rule,Robert Crais,2010
0743484363,Remember Me ,Mary Higgins Clark,1994
006232005X,The Heist,Daniel Silva,2014
006102001X,The Struggle,L.J. Smith,1991
0803734956,The Sky Is Everywhere,Jandy Nelson,2010
038553292X,Lawrence in Arabia,Scott Anderson,2013
0316216828,Broken Monsters,Lauren Beukes,2014
0446573108,The Sixth Man,David Baldacci,2011
068480154X,Tender Is the Night,F. Scott Fitzgerald,1933
0399157212,Port Mortuary,Patricia Cornwell,2010
0062267175,Crush,Nicole  Williams,2013
0399164421,Thankless in Death ,J.D. Robb,2013
0060786507,The Poisonwood Bible,Barbara Kingsolver,1998
0061719544,American on Purpose,Craig Ferguson,2009
0061929379,Pirate Latitudes,Michael Crichton,2009
0380811081,Again the Magic ,Lisa Kleypas,2004
0399157565,The Bone Bed,Patricia Cornwell,2012
0385539126,Stone Mattress,Margaret Atwood,2014
0316056219,Ship Breaker,Paolo Bacigalupi,2010
0345482409,Enchantment,Orson Scott Card,1999
0439568404,Night of the Living Dummy,R.L. Stine,1993
031624371X,The Crown Tower,Michael J. Sullivan,2013
0060512741,The Lathe of Heaven,Ursula K. Le Guin,1971
0786816589,Crispin: The Cross of Lead,Avi,2002
0316250813,California,Edan Lepucki,2014
1408816032,The Song of Achilles,Madeline Miller,2011
0399154779,Dark of the Moon,John Sandford,2004
1476789258,Eight Hundred Grapes,Laura Dave,2015
1481420763,Bad for You,Abbi Glines,2014
1594561753,The Black Cat,Edgar Allan Poe,1843
0316154512,A Wedding in December,Anita Shreve,2005
246246246B,Nehushim,Trit the Triton,2016
